ProcedureName,CaseType,NumberOfCases
Correction Squint,Elective,20
Correction Squint,Emergency,1
Correction Squint - Bil Medial Rectus Recession,Elective,27
Correction Squint - Divergent,Elective,2
Correction Squint - Inferior Oblique Recession,Elective,1
Correction Squint - Inferior Rectus Recession,Elective,1
Correction Squint - Lateral Rectus Recession,Elective,3
Correction Squint - Medial Rectus Recession,Elective,1
Correction Syndactyly Toe,Elective,1
Creation of Arteriovenous Shunt ( Synthetic Graft),Elective,1
Creation of Defunctioning Ileostomy Inc: Creation of Split Ileostomy,Elective,1
Crico-Pharyngeal Myotomy,Elective,2
Cryo - Plomb and Drainage - for Retinal Detachment,Elective,9
Cryotherapy Lesion of Skin,Elective,1
Cryotherapy Lesion Retina,Elective,2
Cryotherapy Lesion Retina,Emergency,1
Cryotherapy to Lesion of Conjunctiva,Elective,1
Cryotherapy to Nerve (Peripheral),Elective,1
Cubital Tunnel Decompression,Elective,32
Cubital Tunnel Decompression,Emergency,2
Curettage Lesion of Skin,Elective,3
Curettage Lesion of Skin Head or Neck,Elective,1
Curretage (Lesion) of Bone,Elective,3
Cyclodiode Laser to Ciliary Body,Elective,103
Cyclodiode Laser to Ciliary Body,Emergency,1
Cystoprostatectomy Open,Elective,3
Cystoprostatectomy Radical,Elective,1
Cystoscopy - Check and Biopsy Bladder (Flexible),Elective,6
Cystoscopy - Check and Biopsy Bladder (Rigid),Elective,157
Cystoscopy - Check and Biopsy Bladder (Rigid),Emergency,6
Cystoscopy and Biopsy Prostate,Elective,3
Cystoscopy and Cystodiathermy,Elective,15
Cystoscopy and Cystodiathermy,Emergency,15
Cystoscopy and Cystodiathermy Laser,Elective,2
Cystoscopy and Destruction of Bladder Lesion,Elective,18
Cystoscopy and Tur Bladder Tumour (Turbt),Elective,405
Cystoscopy and Tur Bladder Tumour (Turbt),Emergency,14
Cystoscopy and Tur Bladder Tumour Laser,Elective,1
Cystoscopy Diagnostc and Bladder Biopsy (Flexi),Elective,4
Cystoscopy Diagnostic and Bladder Biopsy (Rigid),Elective,111
Cystoscopy Diagnostic and Bladder Biopsy (Rigid),Emergency,2
Cystoscopy Nec,Elective,81
Cystoscopy Nec,Emergency,4
Cystoscopy Other Therapeutic Specified,Emergency,2
Cystostomy and Suprapubic Catheter Insertion,Elective,5
Cystourthroscopy,Elective,5
Dacryocystocanaliculoplasty,Elective,1
Dacryocystorhinostomy,Elective,15
Dacryocystorhinostomy Plus Ins of Tube,Elective,1
Darrach Procedure Exc Distal Ulna,Elective,1
Debridement Burns,Elective,2
Debridement Open Fracture of Bone,Emergency,3
Debridement Skin,Elective,3
Debridement Skin,Emergency,4
Debridement Wound,Elective,9
Debridement Wound,Emergency,42
Debridement Wound Head / Neck,Elective,1
Debridement Wound Head / Neck,Emergency,9
Debulking of Lesion,Elective,10
Debulking of Lesion,Emergency,1
Decompress Cervical Spinal Cord,Elective,2
Decompress Cervical Spinal Cord,Emergency,1
Decompress Cervical Spinal Cord - Anterior - Plus Fusion of Spine,Elective,2
Decompress Cervical Spinal Cord-Posterior,Elective,10
Decompress Cervical Spinal Cord-Posterior,Emergency,1
Decompress Thoracic Spinal Cord,Elective,2
Decompress Thoracic Spinal Cord,Emergency,1
Decompress Thoracic Spinal Cord Plus Fusion of Spine,Elective,6
Decompress Thoracic Spinal Cord Plus Fusion of Spine,Emergency,1
Decompression Guyon Canal,Elective,1
Decompression Guyon Canal,Emergency,1
Decompression Lumbar Spine Posterior Plus Fusion,Elective,13
Decompression Median Nerve,Elective,4
Decompression Nerve - Peripheral,Emergency,1
Decompression Shoulder Subacromial - Arthroscopic,Elective,14
Decompression Tendon Sheath,Elective,3
Decompression Ulnar Nerve,Elective,3
Decortication of Lung (Vats),Emergency,34
Decortication of Lung (Vats),Unknown,1
Decortication of Lung Thoracosopic,Elective,1
Decortication of Lung Thoracosopic,Emergency,2
Decortication Pleura,Elective,3
Decortication Pleura,Emergency,2
Delamination of Membranes - Retinal,Elective,1
Delormes Procedure,Elective,22
Delormes Procedure,Emergency,1
Dental Clearance,Elective,17
Dental Clearance,Emergency,2
Dental Clearance Lower,Elective,4
Dental Clearance Upper,Elective,1
Dental Fillings,Elective,5
De-Quervains Release,Elective,6
Dermatology Procedure for Attention,Elective,2
Dermo-Fasciectomy,Elective,4
Deroofing Renal Cyst Laparoscopic,Elective,1
Derotation Osteotomy / Coventry Plating (Orif),Elective,2
Destruction Urethral Valve Posterior - Endoscopic,Elective,1
Destruction Urethral Valve Posterior - Endoscopic,Emergency,1
Diagnostic Cystoscopy (Flexible),Elective,78
Diagnostic Cystoscopy (Flexible),Emergency,1
Diagnostic Cystoscopy (Flexible),Unknown,1
Diagnostic Cystoscopy (Rigid),Elective,68
Diagnostic Cystoscopy (Rigid),Emergency,4
Diagnostic Treatment to Endometriosis Therapeutic,Elective,23
Diathermy to Endometrial Deposits Endoscopic,Elective,1
Diathermy to Vaginal Lesion,Emergency,1
Digital Fasciectomy,Elective,2
Dilatation and Curettage of Uterus,Elective,2
Dilatation and Curettage of Uterus,Emergency,1
Dilatation Cervix,Elective,1
Dilatation Rectum,Emergency,1
Dilatation Submandibular Duct,Elective,1
Direct Laryngoscopy,Elective,4
Direct Laryngoscopy,Emergency,1
Discectomy - Lumbar - Posterior,Elective,21
Discectomy - Lumbar - Posterior,Emergency,12
Displaced Dental Implant Retrieval,Emergency,1
Distant Pedicle Flap of Skin Head / Neck,Elective,2
Division Adhesions Labial,Elective,2
Division Adhesions Nasal - Internal,Elective,1
Division Adhesions Peritoneal Endoscopic,Elective,4
Division Cremaster,Elective,1
Division Flap of Skin,Elective,2
Division Flap of Skin Head / Neck,Elective,6
Division of Muscle,Elective,2
Division Tongue Tie (Frenulotomy),Elective,8
Dorsal Slit of Prepuce,Elective,10
Dorsal Slit of Prepuce,Emergency,1
Drainage Abdominal Abscess Open,Elective,1
Drainage Abdominal Abscess Open,Emergency,4
Drainage Anterior Abdominal Wall,Emergency,2
Drainage Appendix Abscess,Emergency,1
Drainage Empyema - Video Assisted,Emergency,8
Drainage Gall Bladder,Elective,1
Drainage Hydrocele,Elective,2
Drainage Lesion Eyelid,Elective,4
Drainage Lesion of Skin,Elective,4
Drainage Lesion of Skin,Emergency,3
Drainage Lesion Soft Tissue,Elective,1
Drainage Ovarian Cyst Laparoscopic,Emergency,1
Drainage Pilonidal Sinus,Emergency,6
Drainage Scrotum,Elective,1
Drainage Scrotum,Emergency,1
Drainage Vaginal Cyst,Emergency,1
Dressing of Skin Using Vacuum Assisted Closure Device Nec,Elective,2
Dropped Nucleus for Vitrectomy,Elective,1
Duhamel Pull Through (Hirschprung),Elective,2
Dunn's Procedure - Hip Pin for Fix Epiphysis,Elective,1
Duodenoduodenostomy for Duodenal Atresia,Emergency,1
Dupuytren Contracture Release,Elective,7
Dupuytren Contracture Release,Emergency,1
Dynamic Hip Screw,Elective,28
Dynamic Hip Screw,Emergency,123
E.D.T.A. Treatment to Cornea,Elective,3
Ectopic Pregnancy Removal Tubal Laparoscopic,Emergency,29
Electroconvulsive Therapy (Ect),Elective,1
Elevation Fractured Zygoma,Elective,6
Elongation Achilles Tendon,Elective,5
Embolectomy Femoral Artery Inc Popliteal,Emergency,17
Embolisation Varicocele,Elective,15
Embolisation Varicocele,Emergency,1
Endarterectomy Carotid,Elective,1
Endarterectomy Carotid,Emergency,5
Endarterectomy Carotid Plus Patch Repair,Elective,15
Endarterectomy Carotid Plus Patch Repair,Emergency,36
Endarterectomy Femoral,Elective,4
Endarterectomy Femoral,Emergency,5
Endarterectomy Femoral Plus Patch Repair,Elective,38
Endarterectomy Femoral Plus Patch Repair,Emergency,19
Endobronchial Valve Insertion,Elective,2
Endometrial Polypectomy (Vaginal Approach),Elective,4
Endometrial Resection of Polyp,Elective,2
Endometrial Resection of Polyp,Unknown,1
Endoscopic Examination of Intestinal Conduit,Elective,1
Endoscopic Harvest of Free Flap (Back),Elective,1
Endoscopic Injection of Neurolytic Substance Into Nerve of Bladder,Elective,49
Endoscopic Lithopaxy,Elective,27
Endoscopic Retrograde Cholangio Pancreatography (Ercp),Elective,1
Endoscopic Retrograde Cholangio Pancreatography (Ercp),Emergency,1
Endothelial Keratoplasty (Dsaek) With Phaco,Elective,7
Endothelial Keratoplasty (Dsaek) Without Phaco,Elective,23
Endovascular Insertion Aortic Stent Percutaneous,Elective,26
Endovascular Insertion Aortic Stent Percutaneous,Emergency,6
Endovascular Insertion Stent Graft Infrarenal Abdom Aortic Aneur(Evar),Elective,21
Endovascular Insertion Stent Graft Infrarenal Abdom Aortic Aneur(Evar),Emergency,14
Enlargement of Lacrimal Punctum,Elective,9
Ent Procedure for Attention,Emergency,2
Enucleation Dental Cyst (Jaw),Elective,23
Enucleation of Eyeball,Elective,3
Epi Retinal Membrane Peel,Elective,9
Epididymectomy Unilateral,Elective,2
Epidural Catheter Insertion,Emergency,6
Epidural Cervical Theraputic (Single Shot),Elective,19
Epidural Lumbar Theraputic (Single Shot),Elective,241
Epidural Sacral/Caudal,Elective,8
Epidural Thoracic Theraputic (Single Shot),Elective,1
Epilation Eyelash,Elective,9
Epiphysiodesis,Elective,4
Ethmoidectomy Intranasal - Fess,Elective,20
Ethmoidectomy Intranasal - Fess,Emergency,1
Ets Hemiarthroplasty,Elective,29
Ets Hemiarthroplasty,Emergency,153
Evacuation Haematoma Breast,Emergency,4
Evacuation Haematoma Vulva,Elective,1
Evacuation Haematoma Vulva,Emergency,1
Evacuation of Uterus (Gynae),Elective,5
Evacuation of Uterus (Gynae),Emergency,21
Evacuation Retained Products of Conception (Non Obstetric),Elective,5
Evacuation Retained Products of Conception (Non Obstetric),Emergency,171
Evacuation Retained Products of Conception Delivered Uterus,Emergency,1
Evisceration of Eyeball,Elective,4
Evisceration of Eyeball,Emergency,2
Examination / Consultation,Elective,124
Examination / Consultation,Emergency,1
Examination / Consultation,Unknown,6
Examination of Pharynx Under Anaesthetic (Endoscopic),Elective,1
Examination Under Anaestheic Oral (Omf),Elective,3
Examination Under Anaestheic Oral (Omf),Emergency,5
Examination Under Anaesthetic,Elective,94
Examination Under Anaesthetic,Emergency,20
Examination Under Anaesthetic - Anal Canal,Elective,54
Examination Under Anaesthetic - Eye,Elective,9
Examination Under Anaesthetic - Eye,Emergency,2
Examination Under Anaesthetic - Penis,Elective,3
Examination Under Anaesthetic - Penis,Emergency,3
Examination Under Anaesthetic - Rectum,Elective,176
Examination Under Anaesthetic - Rectum,Emergency,19
Examination Under Anaesthetic & Biopsy Post Nasal Space(Pns),Elective,9
Examination Under Anaesthetic (Plastic),Elective,157
Examination Under Anaesthetic (Plastic),Emergency,20
Examination Under Anaesthetic -Ear,Elective,41
Examination Under Anaesthetic -Ear,Emergency,1
Examination Under Anaesthetic Gynaecological,Elective,17
Examination Under Anaesthetic Gynaecological,Emergency,9
Examination Under Anaesthetic -Joint,Elective,20
Examination Under Anaesthetic -Joint,Emergency,1
Examination Under Anaesthetic -Nose,Elective,22
Examination Under Anaesthetic -Nose,Emergency,4
Examination Under Anaesthetic -Pharynx,Elective,1
Examination Under Anaesthetic -Pharynx,Emergency,1
Exc Other Malignant Lesion Skin Plus Full Thickness Graft,Elective,1
Exc Other Malignant Lesion Skin Plus Split Skin Graft,Elective,2
Exchange of Expander to Implant,Elective,1
Excision Accessory Auricle,Elective,4
Excision Accessory Digit,Elective,11
Excision Anal Fistula,Elective,1
Excision Anal Lesion,Elective,6
Excision Anal Polyp,Elective,2
Excision Anal Skin Tag,Elective,22
Excision Arthroplasty of Joint,Emergency,1
Excision Axillary Lymph Node,Elective,4
Excision B.C.C Skin Plus Direct Closure,Elective,2
Excision B.C.C Skin Plus Full Thickness Graft,Elective,7
Excision B.C.C Skin Plus Split Skin Graft,Elective,6
Excision B.C.C. Ear External Plus Direct Closure,Elective,1
Excision B.C.C. Ear External Plus Full Thickness Graft,Elective,2
Excision B.C.C. Eyelid Plus Full Thickness Graft,Elective,1
Excision B.C.C. Head or Neck Plus Direct Closure,Elective,3
Excision B.C.C. Head or Neck Plus Free Flap,Emergency,1
Excision B.C.C. Head or Neck Plus Full Thickness Graft,Elective,8
Excision B.C.C. Lip Plus Direct Closure,Elective,1
Excision B.C.C. Lip Plus Full Thickness Graft,Elective,1
Excision B.C.C. Nose External Plus Full Thickness Graft,Elective,2
Excision Bartholins Cyst,Emergency,2
Excision Benign Lesion Eyebrow Plus Direct Closure,Elective,2
Excision Benign Lesion Head or Neck Plus Direct Closure,Elective,2
Excision Benign Lesion Head or Neck Plus Full Thickness Graft,Elective,1
Excision Benign Lesion Skin Plus Direct Closure,Elective,1
Excision Benign Lesion Skin Plus Full Thickness Graft,Elective,1
Excision Bone,Elective,13
Excision Bone,Emergency,1
Excision Bone Fragments,Elective,1
Excision Bone Tumour,Elective,1
Excision Branchial Cyst,Elective,2
Excision Branchial Fistula,Elective,6
Excision Breast Lump With Localisation,Elective,3
Excision Bursa,Elective,4
Excision Cervical Lesion,Elective,1
Excision Cervical Lymph Node,Elective,4
Excision Cervical Rib,Elective,1
Excision Chalazian,Elective,2
Excision Conjunctival Lesion,Elective,10
Excision Cystic Hygroma,Elective,21
